iter	Passed	Remaining
0	3	313
1	5	261
2	7	245
3	9	217
4	10	198
5	11	187
6	13	177
7	14	166
8	15	157
9	16	148
10	17	142
11	18	135
12	19	129
13	20	124
14	21	119
15	22	115
16	23	112
17	24	109
18	25	106
19	26	104
20	26	101
21	28	99
22	28	96
23	29	94
24	30	92
25	32	91
26	32	88
27	33	87
28	34	85
29	35	83
30	36	81
31	37	79
32	38	78
33	39	76
34	40	74
35	41	72
36	42	71
37	43	70
38	43	68
39	44	67
40	45	65
41	46	63
42	47	62
43	47	61
44	48	59
45	49	58
46	50	57
47	51	55
48	52	54
49	53	53
50	54	51
51	54	50
52	55	49
53	56	48
54	57	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	40
60	62	39
61	63	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	81	15
84	82	14
85	83	13
86	84	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	92	1
98	93	0
99	94	0
